np        i        time/s        processNum        efficiency
1        0        0.714241        1        7142.41        
1        1        0.693871        1        6938.71        
1        2        0.721018        1        7210.18        
1        3        0.684250        1        6842.50        
1        4        0.755146        1        7551.46        
1        5        0.671738        1        6717.38        
1        6        0.646601        1        6466.01        
1        7        0.656955        1        6569.55        
1        8        0.617962        1        6179.62        
1        9        0.719017        1        7190.17        
2        0        0.381303        2        1906.52        
2        1        0.301116        2        1505.58        
2        2        0.336021        2        1680.10        
2        3        0.325841        2        1629.20        
2        4        0.420827        2        2104.14        
2        5        0.407974        2        2039.87        
2        6        0.369991        2        1849.96        
2        7        0.273696        2        1368.48        
2        8        0.300206        2        1501.03        
2        9        0.441367        2        2206.83        
3        0        0.330805        3        1102.68        
3        1        0.323248        3        1077.49        
3        2        0.291248        3        970.83        
3        3        0.330577        3        1101.92        
3        4        0.282483        3        941.61        
3        5        0.277964        3        926.55        
3        6        0.241361        3        804.54        
3        7        0.369818        3        1232.73        
3        8        0.314176        3        1047.25        
3        9        0.363554        3        1211.85        
4        0        0.289582        4        723.95        
4        1        0.209454        4        523.64        
4        2        0.213284        4        533.21        
4        3        0.284422        4        711.06        
4        4        0.238378        4        595.94        
4        5        0.253853        4        634.63        
4        6        0.214668        4        536.67        
4        7        0.215238        4        538.10        
4        8        0.178868        4        447.17        
4        9        0.216540        4        541.35        
5        0        0.301886        5        603.77        
5        1        0.324235        5        648.47        
5        2        0.306908        5        613.82        
5        3        0.278391        5        556.78        
5        4        0.252655        5        505.31        
5        5        0.305780        5        611.56        
5        6        0.272704        5        545.41        
5        7        0.271443        5        542.89        
5        8        0.296071        5        592.14        
5        9        0.255167        5        510.33        
6        0        0.281918        6        469.86        
6        1        0.278714        6        464.52        
6        2        0.319069        6        531.78        
6        3        0.326482        6        544.14        
6        4        0.322997        6        538.33        
6        5        0.414437        6        690.73        
6        6        0.290969        6        484.95        
6        7        0.353257        6        588.76        
6        8        0.325245        6        542.08        
6        9        0.307439        6        512.40        
7        0        0.296526        7        423.61        
7        1        0.324408        7        463.44        
7        2        0.300502        7        429.29        
7        3        0.363395        7        519.14        
7        4        0.268787        7        383.98        
7        5        0.265901        7        379.86        
7        6        0.256665        7        366.66        
7        7        0.268030        7        382.90        
7        8        0.236677        7        338.11        
7        9        0.263048        7        375.78        
8        0        0.234478        8        293.10        
8        1        0.259287        8        324.11        
8        2        0.232531        8        290.66        
8        3        0.225037        8        281.30        
8        4        0.225487        8        281.86        
8        5        0.326059        8        407.57        
8        6        0.231245        8        289.06        
8        7        0.245907        8        307.38        
8        8        0.253563        8        316.95        
8        9        0.202671        8        253.34        
9        0        0.367887        9        408.76        
9        1        0.279279        9        310.31        
9        2        0.293279        9        325.87        
9        3        0.272494        9        302.77        
9        4        0.304621        9        338.47        
9        5        0.351184        9        390.20        
9        6        0.313865        9        348.74        
9        7        0.304316        9        338.13        
9        8        0.262475        9        291.64        
9        9        0.315708        9        350.79        
10        0        0.243122        10        243.12        
10        1        0.225086        10        225.09        
10        2        0.237233        10        237.23        
10        3        0.269889        10        269.89        
10        4        0.275176        10        275.18        
10        5        0.275507        10        275.51        
10        6        0.244577        10        244.58        
10        7        0.296730        10        296.73        
10        8        0.261161        10        261.16        
10        9        0.302624        10        302.62        
11        0        0.342462        11        311.33        
11        1        0.325240        11        295.67        
11        2        0.339435        11        308.58        
11        3        0.328327        11        298.48        
11        4        0.295765        11        268.88        
11        5        0.369683        11        336.08        
11        6        0.284529        11        258.66        
11        7        0.359851        11        327.14        
11        8        0.292215        11        265.65        
11        9        0.267106        11        242.82        
12        0        0.246403        12        205.34        
12        1        0.273012        12        227.51        
12        2        0.286456        12        238.71        
12        3        0.272724        12        227.27        
12        4        0.248613        12        207.18        
12        5        0.287521        12        239.60        
12        6        0.259997        12        216.66        
12        7        0.267988        12        223.32        
12        8        0.255903        12        213.25        
12        9        0.267052        12        222.54        
13        0        0.321905        13        247.62        
13        1        0.358051        13        275.42        
13        2        0.378633        13        291.26        
13        3        0.366414        13        281.86        
13        4        0.304453        13        234.19        
13        5        0.318247        13        244.81        
13        6        0.298785        13        229.83        
13        7        0.399595        13        307.38        
13        8        0.379526        13        291.94        
13        9        0.358095        13        275.46        
14        0        0.317489        14        226.78        
14        1        0.276095        14        197.21        
14        2        0.293752        14        209.82        
14        3        0.304684        14        217.63        
14        4        0.242145        14        172.96        
14        5        0.277600        14        198.29        
14        6        0.278711        14        199.08        
14        7        0.290298        14        207.36        
14        8        0.334445        14        238.89        
14        9        0.314529        14        224.66        
15        0        0.337049        15        224.70        
15        1        0.340338        15        226.89        
15        2        0.388129        15        258.75        
15        3        0.333328        15        222.22        
15        4        0.305045        15        203.36        
15        5        0.301400        15        200.93        
15        6        0.282627        15        188.42        
15        7        0.315995        15        210.66        
15        8        0.319445        15        212.96        
15        9        0.323014        15        215.34        
16        0        0.341590        16        213.49        
16        1        0.352270        16        220.17        
16        2        0.372462        16        232.79        
16        3        0.395207        16        247.00        
16        4        0.388645        16        242.90        
16        5        0.379975        16        237.48        
16        6        0.375732        16        234.83        
16        7        0.375217        16        234.51        
16        8        0.386941        16        241.84        
16        9        0.365955        16        228.72        
17        0        0.408021        17        240.01        
17        1        0.392481        17        230.87        
17        2        0.358840        17        211.08        
17        3        0.383776        17        225.75        
17        4        0.430053        17        252.97        
17        5        0.392168        17        230.69        
17        6        0.378089        17        222.41        
